,Lat,Long,altitude,time
0,39.74007,-105.22777,1848,1
1,39.74018,-105.22793,1848,2
2,39.74032,-105.22828,1848,3
3,39.74051,-105.2291,1848,4
4,39.74052,-105.22934,1864,5
5,39.74048,-105.22953,1864,6
6,39.74039,-105.22975,1864,7
7,39.74031,-105.23002,1864,8
8,39.74028,-105.2302,1864,9
9,39.74028,-105.23041,1864,10
10,39.74035,-105.23059,1864,11
11,39.74042,-105.23068,1864,12
12,39.74053,-105.23074,1864,13
13,39.74072,-105.23082,1864,14
14,39.74088,-105.23093,1864,15
15,39.74102,-105.23111,1864,16
16,39.74107,-105.2313,1894,17
17,39.74115,-105.23164,1894,18
18,39.74131,-105.23198,1894,19
19,39.74159,-105.23232,1894,20
20,39.74219,-105.2328,1866,21
21,39.74233,-105.23294,1866,22
22,39.74257,-105.23317,1866,23
23,39.74281,-105.23346,1897,24
24,39.74289,-105.23362,1897,25
25,39.74291,-105.23369,1897,26
26,39.74292,-105.23386,1897,27
27,39.74289,-105.23406,1897,28
28,39.74278,-105.23447,1897,29
29,39.74275,-105.23467,1897,30
30,39.74277,-105.23477,1897,31
31,39.74282,-105.23486,1897,32
32,39.74289,-105.23491,1897,33
33,39.74296,-105.23492,1897,34
34,39.74322,-105.23481,1897,35
35,39.74354,-105.23462,1897,36
36,39.74374,-105.23453,1897,37
37,39.74388,-105.23449,1887,38
38,39.74408,-105.2345,1887,39
39,39.74423,-105.23455,1887,40
40,39.74441,-105.23469,1887,41
41,39.74449,-105.23481,1887,42
42,39.74455,-105.23496,1887,43
43,39.74455,-105.23522,1887,44
44,39.74448,-105.23578,1931,45
45,39.74442,-105.23613,1931,46
46,39.74445,-105.23628,1931,47
47,39.74453,-105.23635,1931,48
48,39.74465,-105.23633,1931,49
49,39.74483,-105.23622,1931,50
50,39.74502,-105.2361,1931,51
51,39.74529,-105.23599,1931,52
52,39.74546,-105.23597,1931,53
53,39.74558,-105.23598,1931,54
54,39.7457,-105.23601,1931,55
55,39.74586,-105.2361,1914,56
56,39.74597,-105.23619,1914,57
57,39.74606,-105.23629,1914,58
58,39.74628,-105.23659,1914,59
59,39.74646,-105.23678,1914,60
60,39.74665,-105.23691,1914,61
61,39.74679,-105.23692,1914,62
62,39.74698,-105.23688,1914,63
63,39.74707,-105.23689,1914,64
64,39.74714,-105.23692,1914,65
65,39.74724,-105.23703,1914,66
66,39.74732,-105.23716,1914,67
67,39.74736,-105.23728,1914,68
68,39.74738,-105.23743,1914,69
69,39.74741,-105.23781,1989,70
70,39.74745,-105.23794,1989,71
71,39.74751,-105.23805,1989,72
72,39.74759,-105.23814,1989,73
73,39.74768,-105.23817,1989,74
74,39.74788,-105.23818,1989,75
75,39.74848,-105.23821,1959,76
76,39.74861,-105.23825,1959,77
77,39.74887,-105.23838,1959,78
78,39.74896,-105.23848,1959,79
79,39.74907,-105.23872,1959,80
80,39.74917,-105.23897,1959,81
81,39.74934,-105.23926,1959,82
82,39.7494,-105.23942,1959,83
83,39.74942,-105.23952,1959,84
84,39.74935,-105.24004,1982,85
85,39.74929,-105.24036,1982,86
86,39.74919,-105.24049,1982,87
87,39.74891,-105.24085,1982,88
88,39.74885,-105.24097,1982,89
89,39.74865,-105.24159,1982,90
90,39.74856,-105.24212,1960,91
91,39.74854,-105.24246,1960,92
92,39.74856,-105.24264,1960,93
93,39.74869,-105.24302,1960,94
94,39.74873,-105.24318,1960,95
95,39.74875,-105.24339,1960,96
96,39.74879,-105.2441,1982,97
97,39.74887,-105.24456,1982,98
98,39.74886,-105.24467,1982,99
99,39.74884,-105.24472,1982,100
100,39.74879,-105.24476,1982,101
101,39.74871,-105.24474,1982,102
102,39.74866,-105.24466,1982,103
103,39.7485,-105.244,1982,104
104,39.74832,-105.24335,1960,105
105,39.74817,-105.24291,1960,106
106,39.74816,-105.24245,1960,107
107,39.74814,-105.24238,1960,108
108,39.7481,-105.24232,1960,109
109,39.74802,-105.24229,1960,110
110,39.74798,-105.24233,1960,111
111,39.74795,-105.24238,1960,112
112,39.74792,-105.2426,1960,113
113,39.74798,-105.24338,1960,114
114,39.74807,-105.24395,1982,115
115,39.74805,-105.24411,1982,116
116,39.74798,-105.24419,1982,117
117,39.74792,-105.24419,1982,118
118,39.74787,-105.24416,1979,119
119,39.74781,-105.24402,1979,120
120,39.74779,-105.24372,2039,121
121,39.74775,-105.24348,2039,122
122,39.74756,-105.2428,2039,123
123,39.74752,-105.24255,2039,124
124,39.74751,-105.2422,2039,125
125,39.74754,-105.24191,2039,126
126,39.74758,-105.24179,2039,127
127,39.74761,-105.24173,2039,128
128,39.7479,-105.24137,2056,129
129,39.74799,-105.24122,1982,130
130,39.74806,-105.24104,1982,131
131,39.7481,-105.24066,1982,132
132,39.74809,-105.24039,1982,133
133,39.74806,-105.24024,1982,134
