,latitude,longitude,altitude,time
0,39.753,-105.21109,1777,1
1,39.75291,-105.21102,1777,2
2,39.75243,-105.21053,1777,3
3,39.75234,-105.21033,1807,4
4,39.75225,-105.21013,1807,5
5,39.75192,-105.20948,1777,6
6,39.75169,-105.20922,1777,7
7,39.7515,-105.20899,1777,8
8,39.75146,-105.20887,1777,9
9,39.75123,-105.20822,1834,10
10,39.75124,-105.2082,1834,11
11,39.75128,-105.20825,1834,12
12,39.75133,-105.20834,1777,13
13,39.7517,-105.20864,1777,14
14,39.75172,-105.20862,1777,15
15,39.7516,-105.20833,1834,16
16,39.75154,-105.20819,1834,17
17,39.75146,-105.2081,1834,18
18,39.75139,-105.20803,1834,19
19,39.75139,-105.20792,1834,20
20,39.7514,-105.20791,1834,21
21,39.75158,-105.20809,1834,22
22,39.75172,-105.20818,1834,23
23,39.75178,-105.2083,1834,24
24,39.75189,-105.20843,1777,25
25,39.75189,-105.20844,1777,26
26,39.75191,-105.20842,1777,27
27,39.75184,-105.20818,1834,28
28,39.75174,-105.20803,1834,29
29,39.75175,-105.208,1834,30
30,39.75177,-105.20798,1834,31
31,39.75189,-105.20807,1834,32
32,39.75194,-105.20811,1834,33
33,39.75203,-105.20818,1834,34
34,39.75217,-105.20812,1887,35
35,39.75228,-105.20809,1887,36
36,39.75254,-105.20803,1887,37
37,39.75263,-105.208,1887,38
38,39.75278,-105.20799,1887,39
39,39.75288,-105.20791,1887,40
40,39.753,-105.20789,1887,41
41,39.75313,-105.20789,1887,42
42,39.75318,-105.20789,1887,43
43,39.75319,-105.20788,1887,44
44,39.75309,-105.20745,1887,45
45,39.75318,-105.20707,1887,46
46,39.7532,-105.20697,1887,47
47,39.75317,-105.20693,1887,48
48,39.75316,-105.2069,1887,49
49,39.75326,-105.20669,1887,50
50,39.75353,-105.20641,1887,51
51,39.75395,-105.20597,1894,52
52,39.75434,-105.20546,1908,53
53,39.75437,-105.2055,1908,54
54,39.75449,-105.20556,1908,55
55,39.75468,-105.20569,1908,56
56,39.75473,-105.20577,1908,57
57,39.75482,-105.20582,1908,58
58,39.75483,-105.20585,1908,59
59,39.75477,-105.20654,1906,60
60,39.75476,-105.20675,1906,61
61,39.75483,-105.20688,1906,62
62,39.75495,-105.20709,1906,63
63,39.75518,-105.20733,1906,64
64,39.75538,-105.20744,1906,65
65,39.75549,-105.20754,1906,66
66,39.75564,-105.20774,1906,67
67,39.75573,-105.2079,1906,68
68,39.75584,-105.20816,1906,69
69,39.75589,-105.2083,1906,70
70,39.7559,-105.20845,1886,71
71,39.7559,-105.20862,1886,72
72,39.75587,-105.20886,1886,73
73,39.75582,-105.20908,1886,74
74,39.7557,-105.20936,1886,75
75,39.75562,-105.20956,1886,76
76,39.75561,-105.20979,1886,77
77,39.75561,-105.21026,1886,78
78,39.75561,-105.2105,1867,79
79,39.75555,-105.21065,1867,80
80,39.75544,-105.2108,1867,81
