,latitude,longitude,altitude,time
0,39.78755,-105.2416,1915,1
1,39.78684,-105.24149,1904,2
2,39.78609,-105.24133,1904,3
3,39.78562,-105.24118,1904,4
4,39.78527,-105.241,1883,5
5,39.7844,-105.24053,1883,6
6,39.78424,-105.24049,1883,7
7,39.78333,-105.24045,1876,8
8,39.78274,-105.24042,1876,9
9,39.78086,-105.24039,1873,10
10,39.78032,-105.24036,1873,11
11,39.78012,-105.24034,1873,12
12,39.77999,-105.24029,1873,13
13,39.77978,-105.24012,1873,14
14,39.77953,-105.23987,1873,15
15,39.77939,-105.23973,1873,16
16,39.77921,-105.23953,1858,17
17,39.77901,-105.23924,1850,18
18,39.77883,-105.23883,1850,19
19,39.77875,-105.23841,1850,20
20,39.77874,-105.23798,1850,21
21,39.77867,-105.238,1850,22
22,39.7785,-105.23806,1850,23
23,39.77831,-105.23808,1850,24
24,39.77821,-105.23807,1850,25
25,39.77806,-105.23799,1850,26
26,39.77765,-105.23766,1850,27
27,39.77756,-105.2376,1850,28
28,39.77747,-105.23758,1850,29
29,39.77735,-105.23758,1850,30
30,39.77718,-105.23763,1850,31
31,39.77695,-105.2377,1834,32
32,39.77687,-105.23777,1834,33
33,39.7767,-105.238,1834,34
34,39.77654,-105.23839,1834,35
35,39.77632,-105.2389,1834,36
36,39.7762,-105.23903,1834,37
37,39.77604,-105.23912,1834,38
38,39.77541,-105.23937,1834,39
39,39.77514,-105.23947,1834,40
40,39.77455,-105.23969,1828,41
41,39.7742,-105.23818,1824,42
42,39.7741,-105.23805,1824,43
43,39.774,-105.23796,1824,44
44,39.77382,-105.23793,1824,45
45,39.77372,-105.23791,1824,46
46,39.77364,-105.23784,1824,47
47,39.77348,-105.23736,1817,48
48,39.77331,-105.23669,1817,49
49,39.77311,-105.23604,1817,50
50,39.77297,-105.23561,1817,51
51,39.77293,-105.23551,1817,52
52,39.77288,-105.23545,1811,53
53,39.77277,-105.23523,1804,54
54,39.77275,-105.23515,1804,55
55,39.77273,-105.235,1804,56
56,39.77255,-105.2349,1804,57
57,39.77228,-105.23524,1804,58
58,39.77226,-105.23522,1804,59
59,39.77222,-105.23514,1804,60
60,39.77213,-105.23502,1804,61
61,39.77206,-105.23501,1804,62
62,39.77201,-105.235,1804,63
63,39.77194,-105.23492,1804,64
64,39.77185,-105.23475,1804,65
65,39.77174,-105.23443,1804,66
66,39.77167,-105.23396,1804,67
67,39.77145,-105.23334,1804,68
68,39.77144,-105.23317,1800,69
69,39.77143,-105.23301,1800,70
70,39.77138,-105.23281,1800,71
71,39.77096,-105.23132,1800,72
72,39.77091,-105.23126,1800,73
73,39.77087,-105.23112,1798,74
74,39.77086,-105.23099,1798,75
75,39.77083,-105.23086,1789,76
76,39.77065,-105.23046,1789,77
77,39.77045,-105.23011,1789,78
78,39.77019,-105.22968,1789,79
79,39.76998,-105.22934,1789,80
80,39.76986,-105.2292,1789,81
81,39.76958,-105.22895,1788,82
82,39.7693,-105.22873,1788,83
83,39.76908,-105.22868,1788,84
84,39.76893,-105.22859,1788,85
85,39.76888,-105.22854,1788,86
86,39.7688,-105.22837,1788,87
87,39.76872,-105.22818,1779,88
88,39.76861,-105.22811,1779,89
89,39.76846,-105.22803,1779,90
90,39.76814,-105.22792,1779,91
91,39.76789,-105.22782,1779,92
92,39.76765,-105.22759,1779,93
93,39.76748,-105.22746,1779,94
94,39.76731,-105.22737,1779,95
95,39.76712,-105.22728,1779,96
96,39.76692,-105.22717,1779,97
97,39.76682,-105.22705,1785,98
98,39.76675,-105.22694,1785,99
99,39.76669,-105.22689,1785,100
100,39.76655,-105.22674,1767,101
101,39.7665,-105.22674,1767,102
102,39.76638,-105.2268,1767,103
103,39.76635,-105.2268,1767,104
104,39.76621,-105.22672,1767,105
105,39.76609,-105.22664,1767,106
106,39.76601,-105.22653,1767,107
107,39.76596,-105.22636,1767,108
108,39.76596,-105.22622,1767,109
109,39.76598,-105.22617,1767,110
110,39.766,-105.22614,1767,111
111,39.76605,-105.22615,1767,112
112,39.76615,-105.2262,1767,113
113,39.7662,-105.2262,1767,114
114,39.76621,-105.22618,1767,115
115,39.76619,-105.22615,1767,116
116,39.76614,-105.2261,1767,117
117,39.76585,-105.22593,1767,118
118,39.76578,-105.22588,1767,119
119,39.7656,-105.22571,1767,120
120,39.76545,-105.22548,1767,121
121,39.76527,-105.22513,1767,122
122,39.76511,-105.22497,1775,123
123,39.76488,-105.22477,1775,124
124,39.76452,-105.22461,1757,125
125,39.76436,-105.22448,1757,126
126,39.76425,-105.22439,1757,127
127,39.76404,-105.22428,1757,128
128,39.76363,-105.2241,1757,129
129,39.76332,-105.2239,1757,130
130,39.76309,-105.22384,1757,131
131,39.76301,-105.22378,1757,132
132,39.76296,-105.22356,1757,133
133,39.76293,-105.22352,1757,134
134,39.76284,-105.22351,1757,135
135,39.76249,-105.2235,1746,136
136,39.76219,-105.22351,1746,137
137,39.76199,-105.22352,1746,138
138,39.76193,-105.22352,1746,139
139,39.76189,-105.22349,1746,140
140,39.76184,-105.22347,1746,141
141,39.76177,-105.2235,1746,142
142,39.76173,-105.2235,1746,143
143,39.76167,-105.22346,1746,144
144,39.76149,-105.22378,1746,145
145,39.76135,-105.22366,1746,146
146,39.76112,-105.22346,1746,147
147,39.76003,-105.22249,1734,148
148,39.75955,-105.22203,1734,149
149,39.75947,-105.22201,1734,150
150,39.75895,-105.22149,1734,151
151,39.75837,-105.22092,1734,152
152,39.75763,-105.22025,1727,153
153,39.75737,-105.21999,1727,154
154,39.75698,-105.21964,1727,155
155,39.75658,-105.21926,1727,156
156,39.75576,-105.2185,1730,157
157,39.75532,-105.21809,1730,158
158,39.75496,-105.21775,1730,159
159,39.75477,-105.21773,1730,160
160,39.75461,-105.21775,1730,161
161,39.75443,-105.21781,1730,162
162,39.75425,-105.21785,1730,163
163,39.75404,-105.21781,1745,164
164,39.75385,-105.21776,1745,165
165,39.75364,-105.21768,1745,166
166,39.75309,-105.21743,1745,167
167,39.7529,-105.21733,1745,168
168,39.75233,-105.21682,1745,169
169,39.75068,-105.21528,1744,170
170,39.74948,-105.21418,1750,171
171,39.74853,-105.21328,1750,172
172,39.74709,-105.21194,1754,173
173,39.74619,-105.21112,1754,174
174,39.74611,-105.21101,1754,175
175,39.74608,-105.21081,1754,176
176,39.74603,-105.21034,1756,177
177,39.74605,-105.21,1756,178
178,39.74604,-105.20986,1756,179
179,39.74597,-105.20966,1756,180
180,39.74591,-105.20952,1756,181
181,39.74591,-105.20941,1756,182
182,39.74592,-105.20933,1756,183
183,39.74596,-105.20925,1756,184
184,39.74598,-105.20913,1756,185
185,39.74599,-105.20901,1756,186
186,39.746,-105.20849,1756,187
187,39.74598,-105.20836,1756,188
188,39.74598,-105.20834,1756,189
189,39.74601,-105.20826,1762,190
190,39.74597,-105.20806,1762,191
191,39.74582,-105.20734,1769,192
192,39.74576,-105.20714,1769,193
193,39.74551,-105.20639,1769,194
194,39.74528,-105.20584,1762,195
195,39.745,-105.20522,1762,196
196,39.74482,-105.20491,1762,197
